"'em" ax m
SILENCE sil
a  ax
abbreviate  ax b r iy v iy ey t
abdomen  ae b d ax m ax n
abides  ax b ay d z
ability  ax b ih l ix t iy
able  ey b el
ably  ey b l iy
abolish  ax b aa l ih sh
aborigine  ae b axr ih jh ix n iy
aborigines  ae b axr ih jh ix n iy z
about  ax b aw t
above  ax b ah v
abruptly  ax b r ah p t l iy
absences  ae b s ix n s ix z
absent  ae b s ix n t
absolute  ae b s ax l uw t
absolution  ae b s ax l uw sh ix n
absurd  ax b s er d
absurdly  ax b s er d l iy
abyss  ax b ih s
academic  ae k ix d eh m ih k
accelerating  ae k s eh l axr ey t ix ng
accelerometer  ae k s eh l axr aa m ax t axr
accelerometers  ae k s eh l axr aa m ax t axr z
accent  ae k s eh n t
accept  ae k s eh p t
acceptance  ae k s eh p t ix n s
accepted  ae k s eh p t ix d
access  ae k s eh s
accident  ae k s ix d ix n t
acclaim  ax k l ey m
acclaimed  ax k l ey m d
accommodate  ax k aa m ax d ey t
accomplish  ax k aa m p l ih sh
accomplished  ax k aa m p l ih sh t
accomplishments  ax k aa m p l ih sh m ax n t s
account  ax k aw n t
accounts  ax k aw n t s
accreditation  ax k r eh d ix t ey sh ix n
accuracy  ae k y axr ax s iy
accurate  ae k y axr ix t
accusations  ae k y uw z ey sh ix n z
accuse  ax k y uw z
accusingly  ax k y uw z ix ng l iy
ace  ey s
aches  ey k s
achieve  ax ch iy v
achieved  ax ch iy v d
acknowledge  ae k n aa l ix jh
acknowledged  ae k n aa l ix jh d
acquiescence  ae k w iy eh s ix n t s
acquire  ax k w ay axr
acres  ey k axr z
acropolis  ax k r aa p el ax s
act  ae k t
action  ae k sh ix n
actions  ae k sh ix n z
activated  ae k t ix v ey t ix d
activities  ae k t ih v ax t iy z
activity  ae k t ih v ax t iy
actor  ae k t axr
actors  ae k t axr z
acts  ae k t s
actual  ae k ch uw el
actually  ae k ch uw el iy
adage  ae d ih jh
adaptations  ae d ae p t ey sh ix n z
add  ae d
added  ae d ix d
addition  ax d ih sh ix n
additives  ae d ix t ih v z
address  ae d r eh s
addressed  ax d r eh s t
adequate  ae d ih k w ix t
adhesive  ae d hh iy s ix v
adjourned  ax jh er n d
