\'em            ax m sp
SILENCE         sil sp
a               ax sp
abbreviate      ax b r iy v iy ey t sp
abides          ax b ay d z sp
ability         ax b ih l ix t iy sp
able            ey b el sp
ably            ey b l iy sp
abolish         ax b aa l ih sh sp
aborigine       ae b axr ih jh ix n iy sp
aborigines      ae b axr ih jh ix n iy z sp
about           ax b aw t sp
above           ax b ah v sp
abruptly        ax b r ah p t l iy sp
absent          ae b s ix n t sp
absolution      ae b s ax l uw sh ix n sp
absorption      ax b s ao r p sh ix n sp
absurd          ax b s er d sp
absurdly        ax b s er d l iy sp
academic        ae k ix d eh m ih k sp
accelerometer   ae k s eh l axr aa m ax t axr sp
accelerometers  ae k s eh l axr aa m ax t axr z sp
accept          ae k s eh p t sp
accepted        ae k s eh p t ix d sp
accident        ae k s ix d ix n t sp
acclaim         ax k l ey m sp
accommodate     ax k aa m ax d ey t sp
accomplish      ax k aa m p l ih sh sp
accomplishments ax k aa m p l ih sh m ax n t s sp
according       ax k ao r d ix ng sp
accordingly     ax k ao r d ix ng l iy sp
account         ax k aw n t sp
accounts        ax k aw n t s sp
accurate        ae k y axr ix t sp
accusingly      ax k y uw z ix ng l iy sp
ace             ey s sp
achieve         ax ch iy v sp
acknowledged    ae k n aa l ix jh d sp
acquiescence    ae k w iy eh s ix n t s sp
acquire         ax k w ay axr sp
acres           ey k axr z sp
across          ax k r ao s sp
act             ae k t sp
action          ae k sh ix n sp
actions         ae k sh ix n z sp
activated       ae k t ix v ey t ix d sp
activities      ae k t ih v ax t iy z sp
activity        ae k t ih v ax t iy sp
actor           ae k t axr sp
actors          ae k t axr z sp
acts            ae k t s sp
actual          ae k ch uw el sp
actually        ae k ch uw el iy sp
adage           ae d ih jh sp
adaptations     ae d ae p t ey sh ix n z sp
add             ae d sp
added           ae d ix d sp
addition        ax d ih sh ix n sp
address         ae d r eh s sp
addressed       ax d r eh s t sp
adequate        ae d ih k w ix t sp
adhesive        ae d hh iy s ix v sp
adjourned       ax jh er n d sp
adjustable      ax jh ah s t ax b el sp
administration  ax d m ih n ix s t r ey sh ix n sp
administrative  ax d m ih n ix s t r ey t ih v sp
admire          ax d m ay axr sp
admitted        ax d m ih t ix d sp
adopted         ax d aa p t ix d sp
adult           ax d ah l t sp
adulterers      ax d ah l t er axr z sp
adults          ax d ah l t s sp
advance         ae d v ae n s sp
advanced        ae d v ae n s t sp
advances        ae d v ae n s ix z sp
advantage       ae d v ae n t ix jh sp
advantages      ae d v ae n t ix jh ix z sp
adventure       ax d v eh n ch axr sp
advertising     ae d v axr t ay z ix ng sp
advice          ax d v ay s sp
advised         ax d v ay z d sp
advisement      ax d v ay z m ax n t sp
aerial          ae r iy el sp
affect          ax f eh k t sp
affectionate    ax f eh k sh ix n ix t sp
affirmative     ax f er m ax t ih v sp
afloat          ax f l ow t sp
afraid          ax f r ey d sp
after           ae f t axr sp
afternoon       ae f t axr n uw n sp
again           ax g eh n sp
against         ax g eh n s t sp
age             ey jh sp
agency          ey jh ix n s iy sp
agenda          ax jh eh n d ax sp
agents          ey jh ix n t s sp
aggressive      ax g r eh s ih v sp
ago             ax g ow sp
agony           ae g ix n iy sp
agree           ax g r iy sp
agreed          ax g r iy d sp
ahead           ax hh eh d sp
aid             ey d sp
aided           ey d ix d sp
aids            ey d z sp
aim             ey m sp
aimless         ey m l ax s sp
ain't           ey n t sp
air             ae r sp
airborne        ae r b ao r n sp
aircraft        ae r k r ae f t sp
airfields       ae r f iy l d z sp
airplanes       ae r p l ey n z sp
al              ae l sp
alarm           ax l aa r m sp
alcohol         ae l k ax hh ao l sp
alcoholic       ae l k ax hh ao l ih k sp
alcoholics      ae l k ax hh ao l ih k s sp
alcoves         ae l k ow v z sp
alert           ax l er t sp
alfalfa         ae l f ae l f ax sp
algae           ae l jh iy sp
algebraic       ae l jh ix b r ey ih k sp
alibi           ae l ix b ay sp
